央视卫视,#genre#
新疆卫视,http://t.061899.xyz/tl/dq.php?id=xjws
西藏卫视,http://t.061899.xyz/tl/dq.php?id=xzws

西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
海峡卫视,http://t.061899.xyz/tl/dq.php?id=hxws
大湾区卫视,http://t.061899.xyz/tl/dq.php?id=dwqws

上海第一财经,http://t.061899.xyz/tl/dq.php?id=dycj
江苏城市,http://t.061899.xyz/tl/dq.php?id=jscs
江苏综艺,http://t.061899.xyz/tl/dq.php?id=jszy
江苏影视,http://t.061899.xyz/tl/dq.php?id=jsys
江苏国际,http://t.061899.xyz/tl/dq.php?id=jsgj
江苏教育,http://t.061899.xyz/tl/dq.php?id=jsjy
江苏体育休闲,http://t.061899.xyz/tl/dq.php?id=jstyxx
优漫卡通,http://t.061899.xyz/tl/dq.php?id=ymkt

港澳台,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk

河南地区,#genre#
开封文旅,http://live.dxhmt.cn:9081/tv/10200-3.m3u8
开封综合,http://live.dxhmt.cn:9081/tv/10200-2.m3u8
开封公共,http://live.dxhmt.cn:9081/tv/10200-3.m3u8
河南新郑,http://live.dxhmt.cn:9081/tv/10184-1.m3u8
周口扶沟,http://live.dxhmt.cn:9081/tv/11621-1.m3u8
罗山综合,http://live.dxhmt.cn:9081/tv/11521-1.m3u8
宜阳综合,http://live.dxhmt.cn:9081/tv/10327-1.m3u8
杞县综合,http://live.dxhmt.cn:9081/tv/10221-1.m3u8
灵宝综合,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
叶县电视,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
义马电视,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
禹州综合,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
新乡综合,http://live.dxhmt.cn:9081/tv/10721-1.m3u8
淅川综合,http://live.dxhmt.cn:9081/tv/11326-1.m3u8
禹州综合,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
项城电视,http://live.dxhmt.cn:9081/tv/11681-1.m3u8
渑池综合,http://live.dxhmt.cn:9081/tv/11221-1.m3u8
安阳新闻,http://live.dxhmt.cn:9081/tv/10522-1.m3u8
温县新闻,http://live.dxhmt.cn:9081/tv/10825-1.m3u8
卫辉综合,http://live.dxhmt.cn:9081/tv/10781-1.m3u8
尉氏综合,http://live.dxhmt.cn:9081/tv/10223-1.m3u8
汤阴综合,http://live.dxhmt.cn:9081/tv/10523-1.m3u8
林州电视,http://live.dxhmt.cn:9081/tv/10581-1.m3u8
新野电视,http://live.dxhmt.cn:9081/tv/11329-1.m3u8
栾川综合,http://live.dxhmt.cn:9081/tv/10324-1.m3u8
新安综合,http://live.dxhmt.cn:9081/tv/10323-1.m3u8
孟州综合,http://live.dxhmt.cn:9081/tv/10883-1.m3u8
获嘉综合,http://live.dxhmt.cn:9081/tv/10724-1.m3u8
襄城电视,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
泌阳综合,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
罗山综合,http://live.dxhmt.cn:9081/tv/11521-1.m3u8
郸城综合,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
济源一套,http://live.dxhmt.cn:9081/tv/19001-1.m3u8
原阳电视,http://live.dxhmt.cn:9081/tv/10725-1.m3u8
封丘综合,http://live.dxhmt.cn:9081/tv/10727-1.m3u8
新泰综合,http://live.dxhmt.cn:9081/tv/10184-1.m3u8
沈丘综合,http://live.dxhmt.cn:9081/tv/11624-1.m3u8
巩义综合,http://live.dxhmt.cn:9081/tv/10181-1.m3u8
汝阳综合,http://live.dxhmt.cn:9081/tv/10326-1.m3u8
新蔡综合,http://live.dxhmt.cn:9081/tv/11729-1.m3u8
义马综合,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
河南|通许,http://live.dxhmt.cn:9081/tv/10222-1.m3u8
河南|宝丰,http://live.dxhmt.cn:9081/tv/10421-1.m3u8
河南|鲁山,http://live.dxhmt.cn:9081/tv/10423-1.m3u8
河南|郏县,http://live.dxhmt.cn:9081/tv/10425-1.m3u8
河南|舞钢,http://live.dxhmt.cn:9081/tv/10481-1.m3u8
河南|滑县,http://live.dxhmt.cn:9081/tv/10526-1.m3u8
河南|浚县,http://live.dxhmt.cn:9081/tv/10621-1.m3u8
河南|淇县,http://live.dxhmt.cn:9081/tv/10622-1.m3u8
河南|叶县,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
浙江频道,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
